TripID,Type,Time,Uber_Dist,Tessie_Dist,Primary_Dist,Rider_Pay,Uber_Fee,Platform_Cut,Driver_Net,Sentiment,Method,Link,Notes
T38cc129c,Private,07:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_062030.jpg,
T56ce361c,Private,07:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_061152.jpg,
T930980ee,Uber,07:52,19.00,0.00,19.00,12.36,0.00,0.00,12.36,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_075250_Uber Driver.jpg,7:52 > 23º SQUTHBOROUGH 5Guc .Ill 59 Colorado Springs Airport (COS) S tratmoor t Carson BAN Security
T51ad1e15,Private,08:10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_075919_Uber Driver.jpg,
T27216b40,Private,08:10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_075343_Uber Driver.jpg,
T657a5fa1,Private,08:10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_074938.jpg,
Tea30b7a4,Uber,08:13,4.00,0.00,4.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_081335_Uber Driver.jpg,
T661e5fbe,Private,08:13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_081243_Uber Driver.jpg,
Tc2be56c2,Uber,08:13,23.00,0.00,23.00,9.61,0.00,0.00,9.61,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_081227_Uber Driver.jpg,
Te989427a,Uber,08:15,14.00,0.00,14.00,12.36,0.00,0.00,12.36,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_081418_Uber Driver.jpg,
Tb5b7cd69,Uber,09:31,18.00,0.00,18.00,8.92,0.00,0.00,8.92,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_092935_Uber Driver.jpg,
Tb31a2d19,Private,09:31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_091055_Uber Driver - Copy.jpg,
T96027794,Private,09:31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_091055_Uber Driver.jpg,
T813c161e,Uber,09:31,18.00,0.00,18.00,8.92,0.00,0.00,8.92,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_092935_Uber Driver - Copy.jpg,
T69965941,Uber,09:31,7.00,0.00,7.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_090302_Uber Driver.jpg,
T9b3f01b0,Uber,09:31,7.00,0.00,7.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_090302_Uber Driver - Copy.jpg,
Tab5ff1ef,Uber,09:31,24.00,0.00,24.00,8.92,0.00,0.00,8.92,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_090252_Uber Driver - Copy.jpg,
Tde9c618f,Uber,09:31,24.00,0.00,24.00,8.92,0.00,0.00,8.92,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_090252_Uber Driver.jpg,
Tb808db69,Uber,09:31,17.00,0.00,17.00,9.61,0.00,0.00,9.61,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_084020_Uber Driver.jpg,
T92b700c0,Uber,09:31,17.00,0.00,17.00,9.61,0.00,0.00,9.61,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_084020_Uber Driver - Copy.jpg,
T7641c2f9,Private,09:31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_082415_Uber Driver - Copy.jpg,
Taa08a438,Private,09:31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_082223_Uber Driver - Copy.jpg,
Tec0c2c1b,Private,09:31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_082223_Uber Driver.jpg,
Td270f828,Private,09:31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_082415_Uber Driver.jpg,
T98324675,Private,10:19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_101146_Uber Driver.jpg,
T93cbb4e9,Private,10:19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_101146_Uber Driver - Copy.jpg,
T76b7b6bd,Uber,10:20,6.00,0.00,6.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_100158_Uber Driver - Copy.jpg,
T09551a47,Uber,10:20,6.00,0.00,6.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_100158_Uber Driver.jpg,
T0270bce5,Uber,10:20,29.00,0.00,29.00,12.11,0.00,0.00,12.11,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_100149_Uber Driver.jpg,
T94103c71,Uber,10:20,29.00,0.00,29.00,12.11,0.00,0.00,12.11,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_100149_Uber Driver - Copy.jpg,
T5851bb81,Uber,10:20,3.00,0.00,3.00,6.02,0.00,0.00,6.02,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_094656_Uber Driver.jpg,
T5c8e1d27,Uber,10:20,3.00,0.00,3.00,6.02,0.00,0.00,6.02,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_094656_Uber Driver - Copy.jpg,
T6eff017f,Uber,10:20,2.00,0.00,2.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_093315_Uber Driver.jpg,
Tc8a1ac0a,Uber,10:20,2.00,0.00,2.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_093315_Uber Driver - Copy.jpg,
Tf2879f63,Uber,10:20,6.00,0.00,6.00,4.87,0.00,0.00,4.87,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_093304_Uber Driver.jpg,
T7600747b,Uber,10:20,6.00,0.00,6.00,4.87,0.00,0.00,4.87,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_093304_Uber Driver - Copy.jpg,
T14e98f70,Uber,10:28,1.10,0.00,1.10,9.27,0.00,0.00,9.27,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_102703_Uber Driver.jpg,
T556ce846,Uber,10:28,1.10,0.00,1.10,9.27,0.00,0.00,9.27,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_102703_Uber Driver - Copy.jpg,
T1d0441d6,Private,15:04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_150258_Gallery.jpg,
Ta81588d3,Private,15:04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_150258_Gallery - Copy.jpg,
Tc42157ab,Private,15:16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_151440 - Copy.jpg,
Tf8f7b854,Private,15:16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_151440.jpg,
T9d0106e3,Private,15:51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_155022_Uber Driver.jpg,
Ta19a7b3b,Private,15:51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_155022_Uber Driver - Copy.jpg,
Tde9ebb5d,Uber,15:51,18.00,0.00,18.00,6.89,0.00,0.00,6.89,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_153847_Uber Driver - Copy.jpg,
T3b18563e,Uber,15:51,7.00,0.00,7.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_153856_Uber Driver.jpg,
T72800cbf,Uber,15:51,18.00,0.00,18.00,6.89,0.00,0.00,6.89,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_153847_Uber Driver.jpg,
T74994df8,Uber,15:51,7.00,0.00,7.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_153856_Uber Driver - Copy.jpg,
Td109bd0e,Uber,16:04,12.00,0.00,12.00,6.89,0.00,0.00,6.89,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_160343_Uber Driver.jpg,
Tf929b900,Uber,16:04,12.00,0.00,12.00,6.89,0.00,0.00,6.89,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_160343_Uber Driver - Copy.jpg,
Tfdb7578e,Uber,16:04,22.00,0.00,22.00,11.10,0.00,0.00,11.10,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_160307_Uber Driver - Copy.jpg,
Td794082d,Uber,16:04,4.00,0.00,4.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_160314_Uber Driver.jpg,
Te27a9d03,Uber,16:04,4.00,0.00,4.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_160314_Uber Driver - Copy.jpg,
T17a041b0,Uber,16:04,22.00,0.00,22.00,11.10,0.00,0.00,11.10,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_160307_Uber Driver.jpg,
Tdf403729,Private,16:12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_161038_Uber Driver - Copy.jpg,
Tf341baa8,Private,16:12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_161038_Uber Driver.jpg,
Ta1cfcee8,Uber,16:31,17.00,0.00,17.00,11.24,0.00,0.00,11.24,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_163028_Uber Driver.jpg,
T536d4fcf,Uber,16:31,17.00,0.00,17.00,11.24,0.00,0.00,11.24,🟩,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_163028_Uber Driver - Copy.jpg,
T3b13364c,Private,17:05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_163302.jpg,
Te833ddf1,Private,17:05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,🟨,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_163302 - Copy.jpg,
